Sample Number,Fo,Fm,FvFm,DATE,Species,Abrev_Population_name,Population Name,Population,Treatment Condition,Condition_Key
KCKT2692,1.193,2.934,0.593,1.4,KC,KT,Kuantan,Northern,15°C,B
KCKT2666,1.064,3.349,0.682,1.4,KC,KT,Kuantan,Northern,15°C,B
KCKT2693,1.07,3.988,0.732,1.4,KC,KT,Kuantan,Northern,15°C,B
KCKT2664,1.183,4.141,0.714,1.4,KC,KT,Kuantan,Northern,15°C,B
KOYX1618,0.713,4.055,0.824,1.4,KO,YX,Yunxiao,Northern,15°C,B
KOYX459,0.836,4.571,0.817,1.4,KO,YX,Yunxiao,Northern,15°C,B
KOYX428,0.82,3.94,0.792,1.4,KO,YX,Yunxiao,Northern,15°C,B
KOYX480,0.698,3.67,0.81,1.4,KO,YX,Yunxiao,Northern,15°C,B
KCBN1698,1.187,5.104,0.767,12.3,KC,BN,Benut,Southern,25°C,A
KCBN1637,1.178,5.003,0.765,12.3,KC,BN,Benut,Southern,25°C,A
KCBN1622,0.98,4.467,0.781,12.3,KC,BN,Benut,Southern,25°C,A
KCBN1699,0.991,5.028,0.803,12.3,KC,BN,Benut,Southern,25°C,A
KCBN1663,1.027,4.619,0.778,12.3,KC,BN,Benut,Southern,25°C,A
KCBN541,0.847,4.369,0.806,12.3,KC,BN,Benut,Southern,25°C,A
KCBN1601,0.998,4.784,0.791,12.3,KC,BN,Benut,Southern,25°C,A
KOFT418,0.641,3.475,0.816,12.3,KO,FT,Futian,Southern,25°C,A
KOFT1773,0.741,4.016,0.815,12.3,KO,FT,Futian,Southern,25°C,A
KOFT1206,0.847,4.308,0.803,12.3,KO,FT,Futian,Southern,25°C,A
KOFT1161,0.818,3.639,0.779,12.3,KO,FT,Futian,Southern,25°C,A
KOFT1201,0.788,4.001,0.803,12.3,KO,FT,Futian,Southern,25°C,A
KOFT1757,0.761,3.402,0.776,12.3,KO,FT,Futian,Southern,25°C,A
KCKT2692,1.131,4.544,0.751,12.3,KC,KT,Kuantan,Northern,25°C,A
KCKT2684,1.118,4.622,0.758,12.3,KC,KT,Kuantan,Northern,25°C,A
KCKT590,1.057,4.332,0.756,12.3,KC,KT,Kuantan,Northern,25°C,A
KCKT2666,1.058,4.2,0.75,12.3,KC,KT,Kuantan,Northern,25°C,A
