id,viral_load,virus,family,day
116Fx32M_I_1,0.653442689,I,116Fx32M,18/08/16
116Fx32M_M_1,-10.88015928,M,116Fx32M,11/08/16
116Fx32M_M_2,-9.881102956,M,116Fx32M,16/08/16
119Fx161M_M_1,-10.30504761,M,119Fx161M,13/09/16
119Fx161M_M_2,-8.801480608,M,119Fx161M,20/09/16
119Fx59M_I_1,-0.292277951,I,119Fx59M,18/08/16
119Fx59M_O_1,-9.727938456,O,119Fx59M,17/08/16
119Fx59M_O_2,-11.11506907,O,119Fx59M,24/08/16
11Fx116M_I_1,0.146649681,I,11Fx116M,18/08/16
11Fx116M_I_2,0.79987375,I,11Fx116M,23/08/16
11Fx116M_M_1,-10.22869166,M,11Fx116M,11/08/16
11Fx116M_M_2,-10.28879814,M,11Fx116M,16/08/16
11Fx119M_I_1,0.433707455,I,11Fx119M,18/08/16
11Fx119M_M_1,-10.04533566,M,11Fx119M,11/08/16
11Fx119M_M_2,-10.85676517,M,11Fx119M,16/08/16
11Fx127M_M_1,-8.586499683,M,11Fx127M,16/08/16
11Fx127M_M_2,-10.97743583,M,11Fx127M,25/08/16
11Fx185M_O_1,-10.20723607,O,11Fx185M,10/08/16
11Fx185M_O_2,-10.713171,O,11Fx185M,17/08/16
11Fx187M_M_1,-9.912922682,M,11Fx187M,16/08/16
11Fx187M_M_2,-11.26786063,M,11Fx187M,25/08/16
11Fx200M_M_1,-11.98297719,M,11Fx200M,16/08/16
11Fx200M_O_1,-11.39159594,O,11Fx200M,10/08/16
11Fx200M_O_2,-10.81121872,O,11Fx200M,17/08/16
11Fx211M_O_1,-11.40587543,O,11Fx211M,10/08/16
11Fx232M_M_1,-11.67739101,M,11Fx232M,25/08/16
11Fx232M_O_1,-11.75429233,O,11Fx232M,24/08/16
11Fx232M_O_2,-11.49374686,O,11Fx232M,07/09/16
11Fx234M_I_1,0.725378823,I,11Fx234M,08/09/16
11Fx27M_O_1,-10.87398742,O,11Fx27M,17/08/16
11Fx3M_M_1,-10.65791165,M,11Fx3M,11/08/16
11Fx3M_M_2,-10.48957491,M,11Fx3M,16/08/16
11Fx44M_I_1,-0.994586905,I,11Fx44M,09/08/16
11Fx44M_I_2,-0.423573751,I,11Fx44M,09/08/16
11Fx44M_O_1,-9.756215899,O,11Fx44M,17/08/16
11Fx46M_M_1,-9.870370898,M,11Fx46M,06/09/16
11Fx46M_M_2,-11.35430412,M,11Fx46M,13/09/16
11Fx48M_I_1,0.286838261,I,11Fx48M,18/08/16
11Fx48M_I_1,0.286838261,I,11Fx48M,23/08/16
11Fx48M_I_2,0.623134919,I,11Fx48M,18/08/16
11Fx48M_M_1,-10.87876675,M,11Fx48M,11/08/16
11Fx48M_M_2,-11.22682833,M,11Fx48M,11/08/16
11Fx70M_I_1,-0.415091294,I,11Fx70M,23/08/16
11Fx70M_M_1,-11.47674558,M,11Fx70M,11/08/16
11Fx70M_M_2,-10.30119376,M,11Fx70M,16/08/16
11Fx73M_I_1,-1.323523079,I,11Fx73M,02/09/16
11Fx73M_I_2,-2.197554035,I,11Fx73M,08/09/16
11Fx73M_M_1,-12.25749808,M,11Fx73M,01/09/16
11Fx73M_M_2,-11.25716855,M,11Fx73M,06/09/16
11Fx73M_O_1,-11.03251284,O,11Fx73M,14/09/16
11FxB10M_I_1,0.414678332,I,11FxB10M,02/09/16
11FxB10M_M_1,-10.04545905,M,11FxB10M,16/08/16
11FxB10M_M_2,-10.24068221,M,11FxB10M,25/08/16
11FxB10M_O_1,-9.760026563,O,11FxB10M,24/08/16
11FxB10M_O_2,-11.13755724,O,11FxB10M,31/08/16
121Fx70M_I_1,-0.523035284,I,121Fx70M,18/08/16
121Fx70M_M_1,-10.61345231,M,121Fx70M,11/08/16
121Fx70M_M_2,-9.335835319,M,121Fx70M,16/08/16
121Fx7M_I_1,-1.218297406,I,121Fx7M,02/09/16
121Fx7M_M_1,-11.11762379,M,121Fx7M,01/09/16
122Fx139M_I_1,0.917315227,I,122Fx139M,23/08/16
122Fx139M_M_1,-10.58337213,M,122Fx139M,25/08/16
122Fx16M_M_1,-9.306745911,M,122Fx16M,25/08/16
122Fx16M_M_2,-12.56357913,M,122Fx16M,01/09/16
122Fx16M_O_1,-11.66443233,O,122Fx16M,07/09/16
122Fx16M_O_1,-11.66443233,O,122Fx16M,31/08/16
122Fx195M_I_1,-0.215340379,I,122Fx195M,15/09/16
122Fx195M_M_1,-10.9498091,M,122Fx195M,06/09/16
122Fx195M_M_2,-9.759362193,M,122Fx195M,06/09/16
122Fx221M_M_1,-10.0115174,M,122Fx221M,16/08/16
122Fx221M_M_2,-10.40669742,M,122Fx221M,25/08/16
122Fx221M_O_1,-10.45468056,O,122Fx221M,17/08/16
122Fx60M_M_2,-9.774985534,M,122Fx60M,01/09/16
122Fx60M_O_1,-11.66520887,O,122Fx60M,07/09/16
122Fx60M_O_1,-11.66520887,O,122Fx60M,24/08/16
123Fx258M_M_1,-11.68879412,M,123Fx258M,25/08/16
123Fx258M_O_1,-11.88484638,O,123Fx258M,24/08/16
123Fx258M_O_2,-11.59329499,O,123Fx258M,07/09/16
123Fx51M_M_1,-10.2782413,M,123Fx51M,11/08/16
125Fx128M_O_1,-11.15893162,O,125Fx128M,07/09/16
125Fx128M_O_2,-12.02746354,O,125Fx128M,07/09/16
125Fx16M_I_1,-1.29531826,I,125Fx16M,02/09/16
125Fx16M_I_2,-0.934540098,I,125Fx16M,08/09/16
125Fx16M_O_1,-10.10330021,O,125Fx16M,24/08/16
125Fx16M_O_2,-11.35469193,O,125Fx16M,31/08/16
126Fx18M_M_1,-11.68299108,M,126Fx18M,25/08/16
126Fx18M_M_2,-12.30822674,M,126Fx18M,01/09/16
126Fx18M_O_1,-11.94889014,O,126Fx18M,24/08/16
127Fx128M_I_1,-0.446048287,I,127Fx128M,09/08/16
127Fx128M_I_2,-0.700867954,I,127Fx128M,18/08/16
127Fx193M_M_1,-7.900705745,M,127Fx193M,06/09/16
127Fx193M_M_2,-9.515157183,M,127Fx193M,13/09/16
127Fx70M_M_1,-10.39179905,M,127Fx70M,01/09/16
127Fx70M_M_2,-12.06738358,M,127Fx70M,01/09/16
127Fx70M_O_1,-11.09528905,O,127Fx70M,07/09/16
127Fx70M_O_2,-11.0824392,O,127Fx70M,14/09/16
128Fx123M_O_1,-13.12558387,O,128Fx123M,07/09/16
128Fx7M_I_1,0.338818072,I,128Fx7M,23/08/16
