id,viral_load,virus,family,day
61_J_A_1,-5.730944669,A,J_61,29/06/17
61_J_A_2,-5.053384824,A,J_61,29/06/17
61_J_O_1,-3.905721702,O,J_61,01/07/17
61_J_O_2,-5.171046292,O,J_61,01/07/17
61_K_A_1,-7.145350963,A,K_61,13/07/17
61_K_A_2,-7.073154958,A,K_61,13/07/17
61_K_M_1,-5.719200643,M,K_61,30/06/17
61_K_M_2,-4.369605583,M,K_61,30/06/17
61_N_M_1,-4.14171937,M,N_61,30/06/17
61_N_M_2,-4.99046471,M,N_61,30/06/17
62_G_O_1,-3.597925685,O,G_62,21/06/17
62_G_O_2,-4.019402547,O,G_62,01/07/17
62_H_A_1,-6.370791948,A,H_62,21/06/17
62_H_A_2,-5.799238237,A,H_62,29/06/17
62_H_M_1,-5.461320435,M,H_62,30/06/17
62_H_O_1,-5.916225956,O,H_62,01/07/17
62_H_O_2,-3.094014686,O,H_62,01/07/17
62_J_A_1,-4.689290084,A,J_62,29/06/17
63_C_M_1,-4.879501853,M,C_63,14/06/17
63_C_M_2,-5.237583673,M,C_63,30/06/17
63_D_A_1,-4.985232865,A,D_63,29/06/17
63_F_M_1,-3.62580159,M,F_63,30/06/17
63_H_A_1,-6.276012936,A,H_63,29/06/17
63_H_A_2,-6.321899931,A,H_63,29/06/17
63_H_M_1,-3.69544748,M,H_63,12/07/17
63_H_M_2,-3.543612048,M,H_63,12/07/17
63_M_O_1,-1.541845825,O,M_63,13/07/17
63_O_O_1,-3.024165179,O,O_63,01/07/17
63_O_O_2,-4.204475434,O,O_63,06/07/17
64_D_O_1,5.794990985,O,D_64,01/07/17
64_D_O_2,4.776807277,O,D_64,06/07/17
64_D_O_3,5.447535962,O,D_64,06/07/17
64_H_A_1,-6.814888516,A,H_64,29/06/17
64_H_A_2,-6.66040281,A,H_64,29/06/17
64_I_A_1,-5.670166531,A,I_64,29/06/17
64_I_A_2,-6.951620616,A,I_64,29/06/17
64_I_O_1,-1.909027626,O,I_64,01/07/17
64_I_O_2,-3.147698921,O,I_64,01/07/17
64_K_M_1,-5.876806773,M,K_64,30/06/17
64_K_M_2,-4.72057489,M,K_64,30/06/17
64_K_O_1,-2.761242912,O,K_64,06/07/17
64_K_O_2,-1.846464184,O,K_64,13/07/17
65_D_A_1,-7.730945135,A,D_65,21/06/17
65_D_A_2,-6.6525779,A,D_65,21/06/17
65_D_M_1,-6.82456544,M,D_65,12/07/17
65_D_M_2,-5.457553433,M,D_65,12/07/17
65_D_O_1,-3.636572874,O,D_65,01/07/17
65_D_O_2,-4.341091658,O,D_65,06/07/17
65_I_O_1,3.585082973,O,I_65,14/06/17
65_I_O_2,3.600600674,O,I_65,01/07/17
65_O_O_1,-2.852784189,O,O_65,06/07/17
65_O_O_2,-3.038943795,O,O_65,13/07/17
66_G_M_1,-6.633639843,M,G_66,14/06/17
66_G_M_2,-6.968496838,M,G_66,21/06/17
66_G_O_1,-4.843656085,O,G_66,21/06/17
66_H_M_1,-3.808735887,M,H_66,06/07/17
66_O_M_1,-3.762682465,M,O_66,12/07/17
67_G_A_1,-6.574755691,A,G_67,29/06/17
67_G_A_2,-6.151642826,A,G_67,29/06/17
67_K_M_1,-1.36206869,M,K_67,30/06/17
67_K_M_2,-1.799685035,M,K_67,30/06/17
67_K_O_1,1.029991118,O,K_67,01/07/17
68_G_M_1,-6.584428827,M,G_68,30/06/17
68_G_M_2,-5.535525367,M,G_68,30/06/17
68_G_O_1,-5.564778367,O,G_68,01/07/17
68_G_O_2,-1.663463627,O,G_68,01/07/17
68_K_M_1,-6.29997018,M,K_68,30/06/17
69_F_M_2,-3.055809525,M,F_69,30/06/17
69_L_A_1,-5.531243326,A,L_69,29/06/17
69_L_A_2,-6.519268059,A,L_69,29/06/17
69_L_M_1,-6.196629073,M,L_69,30/06/17
69_L_M_2,-4.800776993,M,L_69,30/06/17
69_L_O_1,-2.27768662,O,L_69,13/07/17
69_L_O_2,0.348520735,O,L_69,20/07/17
7_E_M_2,-5.004466097,M,E_7,06/07/17
7_E_O_1,4.57401225,O,E_7,14/06/17
7_E_O_2,6.599353756,O,E_7,01/07/17
7_F_O_1,-4.03167203,O,F_7,14/06/17
7_G_M_1,-3.756206068,M,G_7,12/07/17
7_G_M_2,-3.163280048,M,G_7,12/07/17
7_G_O_1,-1.83824971,O,G_7,21/06/17
7_G_O_2,-2.55649332,O,G_7,01/07/17
