id,viral_load,virus,family,day
A12_25_1_A,-6.28335467,A,A12_25,31
A12_11_1_M,-5.5988732,M,A12_11,31
A12_16_1_A,-6.43670467,A,A12_16,31
A12_16_1_M,-6.97076683,M,A12_16,31
A12_14_1_A,-7.1740732,A,A12_14,31
A12_15_1_A,-6.41988578,A,A12_15,31
A12_15_1_M,-7.17721683,M,A12_15,31
A12_7_1_A,-5.61903578,A,A12_7,31
A12_14_1_M,-6.29191683,M,A12_14,31
A12_4_1_M,-6.448886,M,A12_4,31
A12_12_2_O,-8.39317618,O,A12_12,32
A12_7_2_O,-5.43634821,O,A12_7,32
A12_12_2_A,-5.66888033,A,A12_12,32
A12_7_2_A,-5.55644235,A,A12_7,32
A12_14_2_A,-4.22669235,A,A12_14,32
A12_11_2_A,-5.87479235,A,A12_11,32
A12_11_2_O,-6.58219821,O,A12_11,32
A12_16_2_A,-4.12644235,A,A12_16,32
A12_1_2_A,-6.24801527,A,A12_1,32
A12_1_2_O,-8.11286527,O,A12_1,32
A12_25_2_A,-5.33773033,A,A12_25,32
A12_25_2_O,-6.65481527,O,A12_25,32
A12_15_2_O,-8.09852618,O,A12_15,32
A12_23_2_A,-4.39453033,A,A12_23,32
A12_14_2_O,-6.63697618,O,A12_14,32
A12_23_2_O,-8.27209821,O,A12_23,32
A12_4_2_A,-5.75828033,A,A12_4,32
A12_16_2_O,-7.50864821,O,A12_16,32
A12_4_2_O,-7.05211527,O,A12_4,32
A12_15_2_A,-6.11744235,A,A12_15,32
A12_7_3_O,-7.76656457,O,A12_7,33
A12_25_3_O,-9.02401457,O,A12_25,33
A12_7_3_M,-5.36329131,M,A12_7,33
A12_14_3_M,-5.53372824,M,A12_14,33
A12_14_3_O,-6.09668393,O,A12_14,33
A12_25_3_M,-6.22204131,M,A12_25,33
A12_16_3_M,-7.00837824,M,A12_16,33
A12_1_3_M,-5.87521325,M,A12_1,33
A12_12_3_O,-6.52767618,O,A12_12,33
A12_23_3_O,-6.65298393,O,A12_23,33
A12_15_3_M,-6.04801325,M,A12_15,33
A12_12_3_M,-5.61807824,M,A12_12,33
A12_23_3_M,-7.44662824,M,A12_23,33
A12_1_3_O,-8.84073393,O,A12_1,33
A12_11_3_M,-6.33189131,M,A12_11,33
A12_11_3_O,-8.05141457,O,A12_11,33
A12_16_3_O,-7.28226457,O,A12_16,33
A12_4_3_O,-8.24648393,O,A12_4,33
A12_15_3_O,-10.98651457,O,A12_15,33
A12_4_3_M,-5.14644131,M,A12_4,33
A12_1_4_A,-5.87107654,A,A12_1,34
A12_1_4_M,-5.03910945,M,A12_1,34
A12_7_4_A,-5.54115945,A,A12_7,34
A12_15_4_M,-6.27865945,M,A12_15,34
A12_7_4_M,-4.59435596,M,A12_7,34
A12_15_4_A,-4.75852654,A,A12_15,34
A12_4_4_A,-5.82915945,A,A12_4,34
A12_4_4_M,-5.80200945,M,A12_4,34
A12_16_4_A,-4.17422003,A,A12_16,34
A12_16_4_M,-5.75730945,M,A12_16,34
A12_4_5_A,-5.7436735,A,A12_4,35
A12_4_5_M,-6.96066212,M,A12_4,35
A12_16_5_A,-4.7448735,A,A12_16,35
A12_16_5_M,-6.67886022,M,A12_16,35
A12_1_5_A,-6.2371735,A,A12_1,35
A12_1_5_M,-5.55326212,M,A12_1,35
A12_15_5_A,-4.7440235,A,A12_15,35
A12_15_5_M,-6.53566212,M,A12_15,35
A12_7_5_A,-5.92281834,A,A12_7,35
A12_7_5_M,-6.43616022,M,A12_7,35
A13_11_1_A,-5.68647003,A,A13_11,34
A13_11_1_M,-5.58433224,M,A13_11,34
A13_2_1_A,-5.71455596,A,A13_2,34
A13_18_1_A,-6.89525596,A,A13_18,34
A13_18_1_M,-6.14099579,M,A13_18,34
A13_19_1_A,-5.31437654,A,A13_19,34
A13_14_1_A,-7.21265596,A,A13_14,34
A13_14_1_M,-4.99820945,M,A13_14,34
A13_3_1_A,-7.27402003,A,A13_3,34
A13_17_1_M,-5.25083224,M,A13_17,34
A13_19_1_M,-4.70453224,M,A13_19,34
A13_9_1_A,-4.94162003,A,A13_9,34
A13_17_1_A,-4.99362654,A,A13_17,34
A13_7_1_M,-4.63449579,M,A13_7,34
A13_4_1_A,-5.70027654,A,A13_4,34
A13_4_1_M,-2.00220945,M,A13_4,34
A13_2_1_M,-3.85698224,M,A13_2,34
A13_3_1_M,-6.72329579,M,A13_3,34
A13_7_1_A,-5.55740596,A,A13_7,34
A13_9_1_M,-4.19874579,M,A13_9,34
A13_18_2_A,-7.20825039,A,A13_18,35
A13_18_2_M,-7.00186834,M,A13_18,35
A13_2_2_A,-5.89284767,A,A13_2,35
A13_3_2_A,-6.75614767,A,A13_3,35
A13_19_2_A,-5.5856735,A,A13_19,35
A13_19_2_M,-5.31266022,M,A13_19,35
A13_2_2_M,-4.65506022,M,A13_2,35
